"Package","Version"
"abind","1.4-8"
"anytime","0.3.11"
"ape","5.8-1"
"arrow","18.1.0.1"
"ash","1.0-15"
"AsioHeaders","1.22.1-2"
"askpass","1.2.1"
"assertthat","0.2.1"
"astsa","2.1"
"aweek","1.0.3"
"backports","1.5.0"
"base64enc","0.1-3"
"base64url","1.4"
"BayesianTools","0.1.8"
"bayesm","3.1-6"
"bayesplot","1.11.1"
"bayestestR","0.15.0"
"bbmle","1.0.25.1"
"bdsmatrix","1.3-7"
"BH","1.87.0-1"
"bigD","0.3.0"
"biglm","0.9-3"
"binom","1.1-1.1"
"bit","4.5.0.1"
"bit64","4.5.2"
"bitops","1.0-9"
"blob","1.2.4"
"boot","1.3-31"
"brew","1.0-10"
"brglm2","0.9.2"
"bridgesampling","1.1-2"
"brms","2.22.0"
"Brobdingnag","1.2-9"
"broom","1.0.7"
"broom.helpers","1.18.0"
"broom.mixed","0.2.9.6"
"bslib","0.8.0"
"butcher","0.3.4"
"ca","0.71.1"
"cachem","1.1.0"
"callr","3.7.6"
"car","3.1-3"
"carData","3.0-5"
"cards","0.4.0"
"caret","7.0-1"
"caTools","1.18.3"
"cellranger","1.1.0"
"checkmate","2.3.2"
"chk","0.9.2"
"class","7.3-23"
"classInt","0.4-11"
"cli","3.6.3"
"clipr","0.8.0"
"clock","0.7.1"
"clue","0.3-66"
"cluster","2.1.8"
"cmprsk","2.2-12"
"cobalt","4.5.5"
"coda","0.19-4.1"
"codetools","0.2-20"
"collections","0.3.7"
"colorspace","2.1-1"
"commonmark","1.9.2"
"conflicted","1.2.0"
"consort","1.2.2"
"corpcor","1.6.10"
"corrplot","0.95"
"corrr","0.4.4"
"cowplot","1.1.3"
"coxme","2.2-22"
"cpp11","0.5.1"
"crayon","1.5.3"
"crosstalk","1.2.1"
"curl","6.1.0"
"cyclocomp","1.1.1"
"dagitty","0.3-4"
"data.table","1.16.4"
"datawizard","1.0.0"
"date","1.2-42"
"DBI","1.2.3"
"dbplyr","2.5.0"
"dd4d","0.0.0.9000"
"deldir","2.0-4"
"DEoptimR","1.1-3-1"
"Deriv","4.1.6"
"desc","1.4.3"
"deSolve","1.40"
"detectseparation","0.3"
"dfidx","0.1-0"
"DHARMa","0.4.7"
"diagram","1.6.5"
"DiagrammeR","1.0.11"
"dials","1.3.0"
"DiceDesign","1.10"
"digest","0.6.37"
"distributional","0.5.0"
"doBy","4.6.24"
"doFuture","1.0.1"
"doParallel","1.0.17"
"dplyr","1.1.4"
"DT","0.33"
"dtplyr","1.3.1"
"dtw","1.23-1"
"dtwclust","6.0.0"
"duckdb","1.1.3-1"
"e1071","1.7-16"
"effectsize","1.0.0"
"egg","0.4.5"
"ellipse","0.5.0"
"emmeans","1.10.6"
"emulator","1.2-24"
"enrichwith","0.3.1"
"Epi","2.59"
"epitools","0.5-10.1"
"estimability","1.5.1"
"estimatr","1.0.4"
"etm","1.1.1"
"evaluate","1.0.3"
"exactRankTests","0.8-35"
"expm","1.0-0"
"fansi","1.0.6"
"farver","2.1.2"
"fastDummies","1.7.4"
"fastGHQuad","1.0.1"
"fastmap","1.2.0"
"fastshap","0.1.1"
"fda","6.2.0"
"fds","1.8"
"finalfit","1.0.8"
"flexclust","1.4-2"
"flexsurv","2.3.2"
"FNN","1.1.4.1"
"fontawesome","0.5.3"
"fontBitstreamVera","0.1.1"
"fontLiberation","0.1.0"
"fontquiver","0.2.1"
"forcats","1.0.0"
"foreach","1.5.2"
"forecast","8.23.0"
"foreign","0.8-88"
"forestplot","3.1.6"
"forestploter","1.1.2"
"Formula","1.2-5"
"formula.tools","1.7.1"
"fracdiff","1.5-3"
"fs","1.6.5"
"furrr","0.3.1"
"future","1.34.0"
"future.apply","1.11.3"
"fuzzyjoin","0.1.6"
"gap","1.6"
"gap.datasets","0.0.6"
"gargle","1.5.2"
"gclus","1.3.2"
"geepack","1.3.12"
"generics","0.1.3"
"geosphere","1.5-20"
"getopt","1.20.4"
"gets","0.38"
"ggalluvial","0.12.5"
"GGally","2.2.1"
"ggdist","3.3.2"
"ggeffects","2.0.0"
"ggfittext","0.10.2"
"ggfortify","0.4.17"
"gggenes","0.5.1"
"ggh4x","0.3.0"
"ggplot2","3.5.1"
"ggpubr","0.6.0"
"ggrepel","0.9.6"
"ggridges","0.5.6"
"ggsci","3.2.0"
"ggsignif","0.6.4"
"ggstats","0.8.0"
"ggtext","0.1.2"
"ggvenn","0.1.10"
"gh","1.4.1"
"gitcreds","0.1.2"
"glmmTMB","1.1.10"
"glmnet","4.1-8"
"globals","0.16.3"
"glue","1.8.0"
"Gmisc","3.0.3"
"gmm","1.8"
"gnm","1.1-5"
"googledrive","2.1.1"
"googlesheets4","1.1.1"
"gower","1.0.2"
"GPfit","1.0-8"
"gridExtra","2.3"
"gridtext","0.1.5"
"gt","0.11.1"
"gtable","0.3.6"
"gtsummary","2.0.4"
"hardhat","1.4.0"
"haven","2.5.4"
"HDInterval","0.2.4"
"hdrcde","3.4"
"here","1.0.1"
"hexbin","1.28.5"
"highr","0.11"
"Hmisc","5.2-2"
"hms","1.1.3"
"htmlTable","2.4.3"
"htmltools","0.5.8.1"
"htmlwidgets","1.6.4"
"httpgd","2.0.2"
"httpuv","1.6.15"
"httr","1.4.7"
"httr2","1.0.7"
"IDPmisc","1.1.21"
"ids","1.0.1"
"igraph","2.1.3"
"incidence","1.7.5"
"infer","1.0.7"
"ini","0.3.1"
"inline","0.3.21"
"insight","1.0.1"
"interactions","1.2.0"
"interp","1.1-6"
"ipred","0.9-15"
"isoband","0.2.7"
"iterators","1.0.14"
"janitor","2.2.1"
"jomo","2.7-6"
"jpeg","0.1-10"
"jquerylib","0.1.4"
